clip_id,frame_first,frame_last,depth_start_mm,depth_end_mm,total_frames,depth_change_mm,verified_depth_motion,verified_cat3_answer,verified_cat4_answer,expected_depth_motion,expected_cat3,expected_cat4,cat3_match,cat4_match
clip_053,frame_0000.png,frame_0149.png,1642.0,1284.0,150,-358.0,toward,A,A,toward,A,A,True,True
clip_054,frame_0000.png,frame_0149.png,786.0,1381.0,150,595.0,away,B,B,away,B,B,True,True
clip_055,frame_0000.png,frame_0149.png,1201.0,1204.0,150,3.0,stationary,C,C,stationary,C,D,True,False
clip_056,frame_0000.png,frame_0149.png,920.0,920.0,150,0.0,stationary,C,C,stationary,C,C,True,True
clip_057,frame_0000.png,frame_0149.png,1917.0,1321.0,150,-596.0,toward,A,A,toward,A,A,True,True
clip_058,frame_0000.png,frame_0149.png,406.0,585.0,150,179.0,away,B,B,away,B,B,True,True
clip_059,frame_0000.png,frame_0149.png,1218.0,860.0,150,-358.0,toward,A,A,toward,A,A,True,True
clip_060,frame_0000.png,frame_0149.png,523.0,1119.0,150,596.0,away,B,B,away,B,B,True,True
clip_061,frame_0000.png,frame_0149.png,1097.0,1119.0,150,22.0,stationary,C,C,stationary,C,D,True,False
clip_062,frame_0000.png,frame_0149.png,988.0,1003.0,150,15.0,stationary,C,C,stationary,C,C,True,True
clip_063,frame_0000.png,frame_0149.png,1179.0,1202.0,150,23.0,stationary,C,C,toward,C,D,True,False
clip_064,frame_0000.png,frame_0149.png,1336.0,1331.0,150,-5.0,stationary,C,C,toward,C,C,True,True
clip_065,frame_0000.png,frame_0149.png,1342.0,984.0,150,-358.0,toward,A,A,toward,A,A,True,True
clip_066,frame_0000.png,frame_0149.png,445.0,1040.0,150,595.0,away,B,B,away,B,B,True,True
clip_067,frame_0000.png,frame_0149.png,1529.0,1349.0,150,-180.0,toward,A,A,toward,A,A,True,True
clip_068,frame_0000.png,frame_0149.png,771.0,1128.0,150,357.0,away,B,B,away,B,B,True,True
clip_069,frame_0000.png,frame_0149.png,653.0,649.0,150,-4.0,stationary,C,C,stationary,C,D,True,False
clip_070,frame_0000.png,frame_0149.png,611.0,595.0,150,-16.0,stationary,C,C,stationary,C,C,True,True
