clip_id,scene_type,object_type,description,scenario_label,speed,depth_start_mm,depth_end_mm,depth_change_mm,verified_depth_motion,depth_motion,rgb_visible,q1_text,q1_options,q1_correct,q2_text,q2_options,q2_correct,q3_text,q3_options,q3_correct,q4_text,q4_options,q4_correct,ambiguity_flag,notes,include_in_benchmark
clip_001,object,ball,ball,pure_toward,slow,1763.0,1583.0,-180.0,toward,toward,partially,In which direction does the ball move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the ball in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the ball closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the ball at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_012,person,person,person on campus grounds,person_angle_away,fast,410.0,1005.0,595.0,away,away,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_013,person,person,person in corridor,person_sideways,slow,969.0,960.0,-9.0,stationary,stationary,yes,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_014,person,person,person on campus grounds,person_stationary,medium,849.0,848.0,-1.0,stationary,stationary,yes,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,D,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_015,object,toy,toy,pure_toward,fast,1481.0,885.0,-596.0,toward,toward,partially,In which direction does the toy move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the toy in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the toy closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the toy at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_016,object,pen,pen,pure_away,slow,468.0,647.0,179.0,away,away,partially,In which direction does the pen move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,B,How would you describe the speed of the pen in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the pen closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the pen at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_017,object,ball,ball,angle_toward,medium,1407.0,1048.0,-359.0,toward,toward,partially,In which direction does the ball move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the ball in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the ball closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the ball at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_018,object,bottle,bottle,angle_away,fast,472.0,1068.0,596.0,away,away,partially,In which direction does the bottle move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the bottle in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the bottle closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the bottle at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_019,object,box,box,pure_sideways,slow,962.0,973.0,11.0,stationary,stationary,yes,In which direction does the box move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the box in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the box closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the box at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_020,object,book,book,stationary,medium,1495.0,1516.0,21.0,stationary,stationary,yes,In which direction does the book move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the book in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,D,"By the end of the clip, is the book closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the book at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_021,object,cup,cup,circle,fast,618.0,636.0,18.0,stationary,toward,partially,In which direction does the cup move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the cup in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the cup closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the cup at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_022,object,apple,apple,two_objects,slow,804.0,830.0,26.0,stationary,toward,partially,In which direction does the apple move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the apple in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the apple closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the apple at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_023,person,person,person in corridor,person_toward,medium,1365.0,1007.0,-358.0,toward,toward,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_024,person,person,person on campus grounds,person_away,fast,772.0,1369.0,597.0,away,away,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,B,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_025,person,person,person in corridor,person_angle_toward,slow,1894.0,1715.0,-179.0,toward,toward,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_026,person,person,person on campus grounds,person_angle_away,medium,643.0,1001.0,358.0,away,away,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_027,person,person,person in corridor,person_sideways,fast,688.0,710.0,22.0,stationary,stationary,yes,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_028,person,person,person on campus grounds,person_stationary,slow,1248.0,1273.0,25.0,stationary,stationary,yes,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,D,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_029,object,cup,cup,pure_toward,medium,1788.0,1429.0,-359.0,toward,toward,partially,In which direction does the cup move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the cup in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the cup closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the cup at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_030,object,apple,apple,pure_away,fast,631.0,1226.0,595.0,away,away,partially,In which direction does the apple move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,B,How would you describe the speed of the apple in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the apple closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the apple at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_031,object,toy,toy,angle_toward,slow,1356.0,1177.0,-179.0,toward,toward,partially,In which direction does the toy move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the toy in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the toy closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the toy at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_032,object,pen,pen,angle_away,medium,691.0,1049.0,358.0,away,away,partially,In which direction does the pen move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the pen in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the pen closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the pen at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_033,object,ball,ball,pure_sideways,fast,715.0,728.0,13.0,stationary,stationary,yes,In which direction does the ball move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the ball in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the ball closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the ball at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_034,object,bottle,bottle,stationary,slow,1315.0,1331.0,16.0,stationary,stationary,yes,In which direction does the bottle move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the bottle in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,D,"By the end of the clip, is the bottle closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the bottle at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_035,object,box,box,circle,medium,926.0,898.0,-28.0,stationary,toward,partially,In which direction does the box move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the box in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the box closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the box at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_036,object,book,book,two_objects,fast,710.0,732.0,22.0,stationary,toward,partially,In which direction does the book move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the book in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the book closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the book at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_037,person,person,person in corridor,person_toward,slow,1687.0,1508.0,-179.0,toward,toward,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_038,person,person,person on campus grounds,person_away,medium,690.0,1048.0,358.0,away,away,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,B,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
